# How much oracle-set coverage the correction adds per base policy, and how much
# of that base's own miss set the scorer recovers. Llama-3.1-8B-Instruct, B=128.
# Coverage is the share of the oracle future-attention top-B set retained;
# delta_coverage is the corrected cache's coverage minus the base cache's.
# rescue_recall is the share of K_GT \ K_base that the correction brings back.
# Measured by tools/measurements/coverage.py; the downstream column is read from
# results/scores.csv, not stored here.
base,delta_coverage_pt,rescue_recall_pct
h2o,25.7,46.3
lava,14.1,30.6
snapkv,11.5,28.7
laprox,-4.1,23.4
rkv,-20.8,0.7
